id,district,count
1,Barro Vermelho,4
2,Cidade Alta,4
3,Ribeira,4
4,Tirol,5
0,,32
0,,2
1,Barro Vermelho,11
2,Cidade Alta,4
3,Lagoa Nova,2
4,Ribeira,8
5,Tirol,5
0,,2
1,Barro Vermelho,9
2,Cidade Alta,3
3,Ribeira,6
4,Santos Reis,1
5,Tirol,11
0,,32
0,,14
1,Barro Vermelho,8
2,Lagoa Nova,2
3,Ribeira,4
4,Tirol,4
0,Barro Vermelho,8
1,Cidade Alta,9
2,Lagoa Nova,1
3,Ribeira,6
4,Tirol,8
0,,22
1,Barro Vermelho,3
2,Cidade Alta,1
3,Ribeira,2
4,Tirol,4
0,,28
1,Barro Vermelho,3
2,Lagoa Nova,1
0,Barro Vermelho,9
1,Cidade Alta,4
2,Lagoa Nova,1
3,Ribeira,8
4,Tirol,10
0,,8
1,Barro Vermelho,5
2,Cidade Alta,1
3,Lagoa Nova,2
4,Ribeira,4
5,Santos Reis,1
6,Tirol,11
0,,32
0,,6
1,Barro Vermelho,9
2,Cidade Alta,3
3,Ribeira,8
4,Tirol,6
0,Barro Vermelho,9
1,Cidade Alta,1
2,Lagoa Nova,2
3,Ribeira,13
4,Tirol,7
0,,30
1,Barro Vermelho,1
2,Lagoa Nova,1
0,,15
1,Barro Vermelho,7
2,Cidade Alta,3
3,Lagoa Nova,1
4,Ribeira,4
5,Tirol,2
0,Barro Vermelho,8
1,Cidade Alta,5
2,Lagoa Nova,2
3,Ribeira,12
4,Tirol,5
0,,21
1,Barro Vermelho,3
2,Ribeira,3
3,Tirol,5
0,,23
1,Barro Vermelho,2
2,Cidade Alta,2
3,Ribeira,4
4,Tirol,1
0,Barro Vermelho,4
1,Cidade Alta,1
2,Lagoa Nova,6
3,Ribeira,16
4,Tirol,5
0,,13
1,Barro Vermelho,7
2,Cidade Alta,1
3,Lagoa Nova,2
4,Ribeira,5
5,Tirol,4
0,,28
1,Barro Vermelho,1
2,Cidade Alta,1
3,Tirol,2
0,Barro Vermelho,7
1,Cidade Alta,6
2,Lagoa Nova,2
3,Redinha,2
4,Ribeira,13
5,Tirol,2
0,,8
1,Barro Vermelho,7
2,Cidade Alta,1
3,Lagoa Nova,5
4,Ribeira,4
5,Tirol,7
0,,32
0,,8
1,Barro Vermelho,4
2,Cidade Alta,1
3,Lagoa Nova,6
4,Ribeira,6
5,Tirol,7
0,Barro Vermelho,6
1,Cidade Alta,4
2,Lagoa Nova,6
3,Ribeira,13
4,Tirol,3
0,,28
1,Barro Vermelho,1
2,Lagoa Nova,2
3,Ribeira,1
0,,8
1,Barro Vermelho,6
2,Cidade Alta,4
3,Lagoa Nova,4
4,Ribeira,7
5,Tirol,3
0,Barro Vermelho,6
1,Cidade Alta,1
2,Lagoa Nova,5
3,Redinha,1
4,Ribeira,10
5,Tirol,9
0,,28
1,Barro Vermelho,2
2,Lagoa Nova,2
0,,13
1,Barro Vermelho,6
2,Cidade Alta,1
3,Lagoa Nova,3
4,Ribeira,8
5,Tirol,1
0,Barro Vermelho,3
1,Cidade Alta,1
2,Lagoa Nova,9
3,Ribeira,18
4,Tirol,1
0,,23
1,Lagoa Nova,3
2,Ribeira,4
3,Tirol,2
0,,27
1,Ribeira,5
0,Barro Vermelho,4
1,Cidade Alta,1
2,Lagoa Nova,9
3,Ribeira,16
4,Tirol,2
0,,9
1,Barro Vermelho,3
2,Cidade Alta,1
3,Lagoa Nova,3
4,Ribeira,13
5,Tirol,3
0,,32
0,,7
1,Barro Vermelho,1
2,Cidade Alta,1
3,Lagoa Nova,5
4,Ribeira,15
5,Tirol,3
0,Barro Vermelho,6
